method,scenario,split_id,alpha,selected_margin,calibration_risk_stat,test_false_safe_rate_given_unsafe,test_false_safe_rate_among_accepted,test_accepted_coverage
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0,0.01,0.5,0.0063800617538442425,0.005839917554105119,0.0037971856153674335,0.4272761977476618
cp_bonferroni_upper95,exchangeable_retained_rc_wall,1,0.01,0.5,0.009877348406518102,0.003200568990042674,0.0020134228187919465,0.42660813132277153
cp_bonferroni_upper95,exchangeable_retained_rc_wall,2,0.01,0.5,0.0081642850311336,0.004561403508771929,0.0029069767441860465,0.4267990074441687
cp_bonferroni_upper95,exchangeable_retained_rc_wall,3,0.01,0.5,0.007717021996994018,0.004896817068905212,0.0031481897908702495,0.4244130559267036
cp_bonferroni_upper95,exchangeable_retained_rc_wall,4,0.01,0.5,0.008098665042393994,0.004598514326140785,0.002894033837934105,0.42870776865814086
cp_bonferroni_upper95,exchangeable_retained_rc_wall,5,0.01,0.5,0.008260314689266092,0.004509191814082553,0.002940511196561864,0.4219316663485398
cp_bonferroni_upper95,exchangeable_retained_rc_wall,6,0.01,0.5,0.00992564443131987,0.0031847133757961785,0.0020361990950226246,0.4218362282878412
cp_bonferroni_upper95,exchangeable_retained_rc_wall,7,0.01,0.5,0.007844556172414642,0.004819277108433735,0.003104901308494123,0.43033021569001717
cp_bonferroni_upper95,exchangeable_retained_rc_wall,8,0.01,0.5,0.005228266392727847,0.006678383128295255,0.0042763898266936756,0.4240313036839091
cp_bonferroni_upper95,exchangeable_retained_rc_wall,9,0.01,0.5,0.008526275884504149,0.004262877442273535,0.0026779736665922785,0.4276579499904562
cp_bonferroni_upper95,exchangeable_retained_rc_wall,10,0.01,0.5,0.008078902601488065,0.004609929078014184,0.002908928171850526,0.4265126932620729
cp_bonferroni_upper95,exchangeable_retained_rc_wall,11,0.01,0.75,0.0016872845416625061,0.0,0.0,0.1940255774002672
cp_bonferroni_upper95,exchangeable_retained_rc_wall,12,0.01,0.5,0.009970915562843895,0.0031701303275801338,0.0020143240823634737,0.4264172552013743
cp_bonferroni_upper95,exchangeable_retained_rc_wall,13,0.01,0.5,0.008869440898299098,0.003959683225341973,0.002418645558487247,0.43405230005726286
cp_bonferroni_upper95,exchangeable_retained_rc_wall,14,0.01,0.5,0.008073273892523674,0.0046132008516678496,0.002896613190730838,0.42832601641534646
cp_bonferroni_upper95,exchangeable_retained_rc_wall,15,0.01,0.5,0.008535185973437054,0.0042583392476933995,0.002686366689053056,0.4263218171406757
