distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.5127456,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.12022849999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25032915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8895897,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.141397235,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.181989,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.06793938000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1252566,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.89948745,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5483724,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7317422499999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.51255125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.33128535,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.171755,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5583689,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.43947555000000005,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2591897,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6246285,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5269935,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5783495,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.39836145,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.19425839999999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10054980000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8462324999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14825643,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6306944999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.0602999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.42462112500000004,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.264895,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1097705,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3132501,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.44727237500000006,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.27806407499999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.473115525,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.951445875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1273923,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3534333,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.18941,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.35442465,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8233905000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.24740331,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.41626799999999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.44368125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.474352,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.13278715,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07683934999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.482002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.351329,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.237176,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2965299,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14649194,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10254912000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.95182725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.146683145,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.415783,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.075764,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.027233125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4242375,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.06265002,scaled analysis input PGA
